edrpou,date,has_practice
98890137,2020-05-01,False
98890137,2020-05-02,False
98890137,2020-05-03,False
98890137,2020-05-04,False
98890137,2020-05-05,False
98890137,2020-05-06,False
98890137,2020-05-07,True
98890137,2020-05-08,True
98890137,2020-05-09,True
98890137,2020-05-10,True
98890137,2020-05-11,True
98890137,2020-05-12,True
98890137,2020-05-13,True
98890137,2020-05-14,True
98890137,2020-05-15,True
98890137,2020-05-16,True
98890137,2020-05-17,True
98890137,2020-05-18,True
98890137,2020-05-19,True
98890137,2020-05-20,True
98890137,2020-05-21,True
98890137,2020-05-22,True
98890137,2020-05-23,True
98890137,2020-05-24,True
98890137,2020-05-25,True
98890137,2020-05-26,True
98890137,2020-05-27,True
98890137,2020-05-28,True
98890137,2020-05-29,True
98890137,2020-05-30,True
98890137,2020-05-31,True
98730183,2020-05-01,False
98730183,2020-05-02,False
98730183,2020-05-03,False
98730183,2020-05-04,False
98730183,2020-05-05,False
98730183,2020-05-06,False
98730183,2020-05-07,False
98730183,2020-05-08,False
98730183,2020-05-09,False
98730183,2020-05-10,False
98730183,2020-05-11,False
98730183,2020-05-12,False
98730183,2020-05-13,False
98730183,2020-05-14,False
98730183,2020-05-15,False
98730183,2020-05-16,False
98730183,2020-05-17,False
98730183,2020-05-18,False
98730183,2020-05-19,False
98730183,2020-05-20,False
98730183,2020-05-21,True
98730183,2020-05-22,True
98730183,2020-05-23,True
98730183,2020-05-24,True
98730183,2020-05-25,True
98730183,2020-05-26,True
98730183,2020-05-27,True
98730183,2020-05-28,True
98730183,2020-05-29,True
98730183,2020-05-30,True
98730183,2020-05-31,True
99900152,2020-05-01,True
99900152,2020-05-02,True
99900152,2020-05-03,True
99900152,2020-05-04,True
99900152,2020-05-05,True
99900152,2020-05-06,True
99900152,2020-05-07,True
99900152,2020-05-08,True
99900152,2020-05-09,True
99900152,2020-05-10,True
99900152,2020-05-11,True
99900152,2020-05-12,True
99900152,2020-05-13,True
99900152,2020-05-14,True
99900152,2020-05-15,True
99900152,2020-05-16,True
99900152,2020-05-17,True
99900152,2020-05-18,True
99900152,2020-05-19,True
99900152,2020-05-20,True
